time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-09-27T17:07:27.030Z,-23.0853,-70.7148,24.55,4.6,mwr,,145,0.451,1.27,us,us10006t8j,2016-09-28T13:48:30.040Z,"70km NNW of Antofagasta, Chile",earthquake,4.5,4.7,,,reviewed,us,guc
2016-09-27T16:49:58.290Z,-23.1154,-70.627,14.06,4.8,mwr,,141,0.401,0.82,us,us10006t88,2016-09-27T20:20:46.040Z,"63km NNW of Antofagasta, Chile",earthquake,6.3,4.5,,,reviewed,us,guc
2016-09-27T16:22:55.990Z,17.5234,145.581,471.62,5,mb,,19,3.971,0.7,us,us10006t7y,2016-09-27T19:10:21.040Z,"68km SSW of Pagan, Northern Mariana Islands",earthquake,9.8,5.4,0.028,415,reviewed,us,us
2016-09-27T15:34:55.710Z,-35.224,78.5934,10,4.9,mb,,77,38.482,0.49,us,us10006t7c,2016-09-27T17:14:04.040Z,"Mid-Indian Ridge",earthquake,13.9,1.9,0.108,27,reviewed,us,us
2016-09-27T13:19:34.160Z,3.0754,126.9028,57.85,4.9,mb,,35,2.334,0.75,us,us10006t6j,2016-09-27T14:12:48.040Z,"193km NW of Tobelo, Indonesia",earthquake,8.8,6.7,0.055,103,reviewed,us,us
2016-09-27T12:49:33.730Z,-3.1531,145.9865,38.65,4.8,mb,,72,1.765,1.04,us,us10006t6b,2016-09-27T13:09:43.040Z,"189km SW of Lorengau, Papua New Guinea",earthquake,10,12.1,0.139,16,reviewed,us,us
2016-09-27T10:40:24.130Z,-32.6287,-178.1076,35,4.9,mb,,130,3.376,1.48,us,us10006t51,2016-09-27T11:04:06.040Z,"152km SSE of L'Esperance Rock, New Zealand",earthquake,9.6,2,0.112,25,reviewed,us,us
2016-09-27T10:30:22.020Z,-22.2266,-179.7183,572.35,5.1,mb,,48,4.926,0.9,us,us10006t4q,2016-09-27T10:50:17.040Z,"203km SSW of Ndoi Island, Fiji",earthquake,9.8,5.4,0.029,381,reviewed,us,us
2016-09-27T10:01:07.340Z,-20.2072,-177.5089,521.1,4.8,mb,,90,4.861,1.04,us,us10006t43,2016-09-27T10:19:34.040Z,"133km ENE of Ndoi Island, Fiji",earthquake,11.7,8.3,0.03,337,reviewed,us,us
2016-09-27T08:39:25.610Z,-29.1809,60.99,15.56,4.7,mb,,62,9.283,0.66,us,us10006t3t,2016-09-27T09:17:29.040Z,"Southwest Indian Ridge",earthquake,9.6,4.6,0.112,24,reviewed,us,us
2016-09-27T08:33:52.840Z,-32.8706,-177.1655,36.46,4.7,mb,,235,7.116,0.83,us,us10006t3q,2016-09-27T08:52:11.040Z,"228km SE of L'Esperance Rock, New Zealand",earthquake,8.4,15.8,0.13,18,reviewed,us,us
2016-09-27T08:01:24.110Z,-15.9783,-174.0737,123.16,4.9,mb,,60,3.026,1.21,us,us10006t3h,2016-09-27T08:46:11.535Z,"34km W of Hihifo, Tonga",earthquake,9.2,6.7,0.041,188,reviewed,us,us
2016-09-27T07:54:36.380Z,-32.4287,-178.2282,10,4.8,mb,,128,3.183,0.74,us,us10006t3g,2016-09-27T08:33:46.040Z,"127km SSE of L'Esperance Rock, New Zealand",earthquake,11.1,1.8,0.135,17,reviewed,us,us
